date,close,high,low,open,volume,symbol,daily_return,ma_20,ma_50,volatility,price_range,volume_ma_20,cumulative_return
2021-01-04,125.85667419433594,129.9413479643197,123.27943619712624,129.85382273863348,143301900,AAPL,0.0,125.85667419433594,125.85667419433594,0.0,6.661911767193459,143301900.0,0.0
2021-01-05,127.41277313232422,128.12273976147537,124.9036119861187,125.35098801490136,97664900,AAPL,1.236405576382471,126.63472366333008,126.63472366333008,0.0,3.219127775356668,120483400.0,0.01236405576382471
2021-01-06,123.12384033203124,127.4516575492309,122.9098798620693,124.21309026097016,155088000,AAPL,-3.36617176979479,125.4644292195638,125.4644292195638,3.254513652417525,4.5417776871615985,132018266.66666667,-0.021713857288846783
2021-01-07,127.32522583007812,128.015737336711,124.34924900731144,124.8355201179548,109578200,AAPL,3.412324929694277,125.92962837219238,125.92962837219238,3.460885261621299,3.666488329399556,126408250.0,0.011668444642630504
2021-01-08,128.42422485351562,128.98830121735807,126.65419059044255,128.79378086858412,105158200,AAPL,0.8631431959163827,126.42854766845703,126.42854766845703,2.8341829828060936,2.3341106269155176,122158240.0,0.020400591987796535
2021-01-11,125.4384994506836,126.59582714131228,124.97168331019908,125.64273985954291,100384500,AAPL,-2.324892679895585,126.26353963216145,126.26353963216145,2.768008889245249,1.6241438311132015,118529283.33333333,-0.003322626680938967
2021-01-12,125.2634506225586,126.12901267192076,123.3767161950052,124.97168496595856,91951100,AAPL,-0.13954952338521842,126.12066977364677,126.12066977364677,2.4761444310857024,2.7522964769155607,114732400.0,-0.00471348520509407
2021-01-13,127.29605865478516,127.84067995815208,124.96196311469332,125.22453884607684,88636800,AAPL,1.622666485814106,126.26759338378906,126.26759338378906,2.3474648105389777,2.8787168434587613,111470450.0,0.011436695508310057
2021-01-14,125.37042999267578,127.40303981441828,125.22453974548624,127.20853432464988,90221800,AAPL,-1.512716640608247,126.16790856255426,126.16790856255426,2.2548138268655085,2.1785000689320384,109109488.8888889,-0.0038634756938623616
2021-01-15,123.6490249633789,126.64445696844103,123.51286963768597,125.2439937099894,111598500,AAPL,-1.3730550572391254,125.91602020263672,125.91602020263672,2.156443860890863,3.1315873307550675,109358390.0,-0.017540978617853864
2021-01-19,124.3200912475586,125.17593327026415,123.45452914361996,124.271461161756,90757300,AAPL,0.5427186218236901,125.77093575217508,125.77093575217508,2.0457704923494022,1.7214041266441882,107667381.81818181,-0.012208990557026178
2021-01-20,128.40476989746094,128.85214592405728,125.02032655299224,125.12730680892926,104319500,AAPL,3.2856142630787843,125.9904219309489,125.9904219309489,2.1934229025211143,3.8318193710650377,107388391.66666667,0.020246011738642045
2021-01-21,133.11184692382812,135.83496806730977,129.92190967683482,130.1261500695179,120150900,AAPL,3.6658116595871704,126.53822385347806,126.53822385347806,2.3178176809443087,5.9130583904749585,108370123.07692307,0.05764630899343026
2021-01-22,135.25148010253906,136.01006199526975,131.31268037347158,132.53807846792435,114459400,AAPL,1.6073950051457953,127.16059929983956,127.16059929983956,2.2405737491887745,4.697381621798172,108805071.42857143,0.07464686293629952
2021-01-25,138.9957733154297,141.1061887747769,132.7909473722159,139.14166359536782,157611700,AAPL,2.7683935214993127,127.94961090087891,127.94961090087891,2.2308223598524144,8.315241402561014,112058846.66666667,0.10439731706882371
2021-01-26,139.22918701171875,140.33788486135856,137.48832763704507,139.6571080834781,98390600,AAPL,0.16792862885073312,128.6545844078064,128.6545844078064,2.154652384636512,2.849557224313486,111204581.25,0.10625191634044162
