Date,Close,High,Low,Open,Volume,Symbol
2021-01-04,125.85667419433594,129.9413479643197,123.27943619712624,129.85382273863348,143301900,AAPL
2021-01-05,127.41277313232422,128.12273976147537,124.9036119861187,125.35098801490136,97664900,AAPL
2021-01-06,123.12384033203125,127.4516575492309,122.9098798620693,124.21309026097016,155088000,AAPL
2021-01-07,127.32522583007812,128.015737336711,124.34924900731144,124.8355201179548,109578200,AAPL
2021-01-08,128.42422485351562,128.98830121735807,126.65419059044255,128.79378086858412,105158200,AAPL
2021-01-11,125.4384994506836,126.59582714131227,124.97168331019907,125.64273985954293,100384500,AAPL
2021-01-12,125.2634506225586,126.12901267192076,123.37671619500519,124.97168496595856,91951100,AAPL
2021-01-13,127.29605865478516,127.84067995815208,124.96196311469332,125.22453884607683,88636800,AAPL
2021-01-14,125.37042999267578,127.40303981441828,125.22453974548624,127.20853432464988,90221800,AAPL
2021-01-15,123.6490249633789,126.64445696844105,123.51286963768597,125.2439937099894,111598500,AAPL
2021-01-19,124.3200912475586,125.17593327026417,123.45452914361996,124.27146116175601,90757300,AAPL
2021-01-20,128.40476989746094,128.85214592405728,125.02032655299224,125.12730680892926,104319500,AAPL
2021-01-21,133.11184692382812,135.83496806730975,129.92190967683482,130.1261500695179,120150900,AAPL
2021-01-22,135.25148010253906,136.01006199526975,131.31268037347158,132.53807846792435,114459400,AAPL
2021-01-25,138.9957733154297,141.1061887747769,132.7909473722159,139.14166359536782,157611700,AAPL
2021-01-26,139.22918701171875,140.33788486135856,137.48832763704507,139.6571080834781,98390600,AAPL
2021-01-27,138.1593780517578,140.33787848176394,136.55468894542827,139.4917564593141,140843800,AAPL
2021-01-28,133.3258514404297,138.09131872574878,132.94656044856208,135.68913749731348,142621100,AAPL
2021-01-29,128.33668518066406,132.98543606950525,126.63473619885515,132.10041903740844,177523800,AAPL
2021-02-01,130.4568328857422,131.66279076657688,127.33496534929878,130.07754195512933,106239800,AAPL
2021-02-02,131.283447265625,132.56719496294366,130.91387656436356,132.00311883358094,83305400,AAPL
2021-02-03,130.2622833251953,132.04203704071995,129.9413426709387,132.03230212283063,89880900,AAPL
2021-02-04,133.61756896972656,133.62728904915303,130.89444790890877,132.55750155942113,84183100,AAPL
